MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
5,16,2,1,,,76,0
5,19,1,1,52,70,24,22000
2,21,2,1,,,82,0
3,19,1,1,4,25,49,1000
5,1,1,1,,,53,0
5,16,1,8,24,40,21,20600
5,16,1,1,24,40,20,13800
5,11,1,8,52,40,23,27000
5,16,1,9,52,63,20,39000
1,22,2,1,,,93,0
5,17,1,2,26,25,24,8300
5,16,1,7,52,40,28,40000
2,11,2,1,,,93,0
1,21,1,1,,,77,0
5,11,1,1,26,44,17,6000
5,16,1,1,,,49,0
5,11,1,1,26,44,17,6000
5,11,1,9,,,25,0
5,22,2,1,52,45,29,37000
1,22,1,1,,,86,0
1,21,1,1,,,87,0
4,16,2,2,52,40,34,28500
1,20,1,1,,,43,0
5,16,2,1,52,20,48,14200
5,16,1,1,5,60,19,20000
3,16,1,1,,,82,0
5,15,1,1,52,30,18,38000
3,16,1,1,,,47,0
5,16,1,1,,,35,0
2,22,1,1,,,88,0
5,17,1,1,,,29,0
5,22,1,1,52,40,93,61000
5,16,1,1,22,40,27,20000
5,16,1,1,5,60,19,20000
5,12,1,1,,,62,0
5,17,1,1,32,33,42,15000
3,16,2,1,,,86,0
3,16,2,1,,,76,0
2,17,1,1,,,87,0
5,17,1,1,,,23,0
5,18,2,6,18,24,18,3000
5,16,1,6,,,19,0
5,20,1,9,52,15,21,13000
2,21,1,1,52,25,42,12500
2,18,1,6,,,93,0
3,23,1,1,52,45,50,108000
5,22,1,6,,,45,0
1,21,1,1,,,77,0
2,19,1,1,,,62,0
5,19,1,9,24,40,21,13800
5,18,2,3,1,99,19,0
5,16,2,1,3,30,19,4600
5,16,1,2,,,28,0
5,20,1,9,52,15,21,13000
3,16,2,1,,,46,0
5,16,2,6,,,19,0
5,11,1,1,,,15,0
4,17,1,7,,,35,0
5,19,1,1,52,5,20,2000
3,16,1,1,40,30,41,6800
5,19,1,8,12,40,18,5000
2,18,2,9,,,84,0
1,11,1,1,,,63,0
2,16,2,1,,,93,0
2,16,2,1,,,87,0
3,16,1,1,,,47,0
5,17,1,1,,,47,0
5,16,1,1,4,20,20,5000
3,19,1,9,,,56,0
3,16,1,1,,,79,0
5,22,1,1,,,68,0
2,18,2,1,,,93,0
1,1,1,8,52,40,41,12800
5,19,1,1,,,29,0
5,21,1,1,32,40,34,29000
5,19,1,1,,,45,0
5,21,2,1,52,35,93,29400
2,20,1,1,,,73,0
5,18,1,8,52,40,26,26000
5,19,2,1,8,10,19,2500
5,19,2,1,,,88,0
2,16,2,1,,,79,0
3,19,1,1,,,73,0
5,19,1,1,52,40,42,13400
5,17,1,2,26,25,24,8300
5,19,2,9,52,16,21,10800
5,19,1,8,52,40,20,10000
2,16,2,1,,,86,0
5,13,2,5,52,15,23,3800
5,14,1,1,52,10,22,7100
3,20,2,9,,,85,0
5,19,2,1,1,25,19,1000
5,17,1,1,,,63,0
5,19,1,1,14,12,19,2000
4,10,2,3,52,40,39,37400
3,9,2,6,,,62,0
5,3,1,1,,,6,
5,18,1,1,,,30,0
2,16,2,1,,,93,0
2,18,1,6,,,93,0
5,16,1,6,,,20,0
1,16,1,1,,,93,0
5,19,1,1,,,20,0
2,21,1,1,,,68,0
2,16,2,1,,,32,0
5,18,1,1,4,55,18,4800
5,22,1,6,,,45,0
5,16,1,9,52,27,19,17000
5,14,1,9,,,49,0
5,21,1,1,,,70,0
5,16,2,2,,,31,0
5,19,2,1,,,19,0
5,23,2,1,,,76,0
1,21,2,6,52,60,66,0
2,16,2,9,,,93,0
2,19,2,1,,,65,0
